subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
123,123,Female,Right handed,1,0,,Mood,0.609124
123,123,Female,Right handed,1,1,,Mood,0.6409464
123,123,Female,Right handed,1,2,,Mood,0.6444139
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
123,123,Female,Right handed,1,0,0,VR pre,0.6691745
123,123,Female,Right handed,1,0,1,VR pre,0.6671093
123,123,Female,Right handed,1,0,2,VR pre,0.2950326
123,123,Female,Right handed,1,0,3,VR pre,0.3474807
123,123,Female,Right handed,1,0,0,VR post,0.4018072
123,123,Female,Right handed,1,0,1,VR post,0.3874981
123,123,Female,Right handed,1,0,2,VR post,0.4357115
123,123,Female,Right handed,1,0,3,VR post,0.3007737
123,123,Female,Right handed,1,0,4,VR post,0.5674472
123,123,Female,Right handed,1,1,4,VR post,0.2682122
123,123,Female,Right handed,1,2,4,VR post,0.37002
123,123,Female,Right handed,1,3,4,VR post,0.3822958
123,123,Female,Right handed,1,4,4,VR post,0.377619
123,123,Female,Right handed,1,5,4,VR post,0.3946702
123,123,Female,Right handed,1,6,4,VR post,0.3881003
123,123,Female,Right handed,1,7,4,VR post,0.387768
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
123,123,Female,Right handed,1,0,0,AR pre,0.5035579
123,123,Female,Right handed,1,0,1,AR pre,0.4053354
123,123,Female,Right handed,1,0,2,AR pre,0.4499032
123,123,Female,Right handed,1,0,3,AR pre,0.7158352
