subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
sss,sss,Female,Rigth handed,1,0,,Mood,0.2829907
sss,sss,Female,Rigth handed,1,1,,Mood,0.5957543
sss,sss,Female,Rigth handed,1,2,,Mood,0.3435005
subject ID,age,gender,handedness,placebo,question ID,questionnaire ID,condition,value
sss,sss,Female,Rigth handed,1,0,0,VR pre,0.406025
sss,sss,Female,Rigth handed,1,0,1,VR pre,0.6919069
sss,sss,Female,Rigth handed,1,0,2,VR pre,0.3534543
sss,sss,Female,Rigth handed,1,0,0,VR post,0.6759641
sss,sss,Female,Rigth handed,1,0,1,VR post,0.2955506
